user_id,age_group,gender,primary_platform,platforms_used,daily_usage_hours,posts_per_week,stories_per_week,likes_received_weekly,comments_received_weekly,followers_count,following_count,late_night_hours,morning_check_hours,comparison_content_pct,news_content_pct,entertainment_content_pct,avg_session_duration_min,sessions_per_day,notifications_per_day,fomo_score,engagement_ratio,follower_following_ratio,usage_intensity,late_night_pct,depression_score,anxiety_score,self_esteem_score,sleep_quality_score,life_satisfaction,loneliness_score,stress_level,body_image_score,seeks_validation_frequency,compares_to_others_frequency,has_taken_break,cyberbullying_experienced,professional_help_seeking,support_system_rating,physical_activity_hours_week,face_to_face_social_hours_week,depression_severity,anxiety_severity,sleep_quality_category,mental_health_composite
USER0001,18-24,Male,Snapchat,5.0,4.92,14.0,24.0,76.0,7.0,10757.0,49.0,1.94,0.15,46.1,37.8,16.1,37.8,18.0,97.0,3.6,0.0070645101319947,215.14,88.56,39.43089430894309,14.2,19.5,11.3,16.8,2.2,49.2,37.6,6.9,Always,Always,Yes,Yes,No,5.1,9.0,8.7,Moderately Severe,Severe,Poor,9.62857142857143
USER0002,25-34,Male,TikTok,3.0,2.19,15.0,43.0,178.0,10.0,145.5,3556.0,1.08,0.52,35.8,28.8,18.2,87.4,25.0,74.0,1.9,1.2150170648464165,0.0409052572392465,54.75,49.31506849315069,21.9,4.8,26.8,13.1,2.9,48.2,9.3,4.5,Rarely,Often,No,Yes,No,8.8,6.8,18.6,Severe,Mild,Poor,17.757142857142856
USER0003,25-34,Female,Facebook,5.0,2.49,3.0,5.0,89.0,9.0,12.0,259.5,1.22,0.8,57.0,36.3,6.7,57.8,18.0,193.0,8.6,6.846153846153846,0.0460652591170825,44.82000000000001,48.99598393574296,23.2,12.9,31.9,7.3,7.6,29.2,25.5,5.0,Never,Rarely,No,No,No,2.3,14.0,13.1,Severe,Moderate,Moderate,19.714285714285715
USER0004,35-44,Male,Snapchat,4.0,2.97,19.0,48.0,367.0,28.0,27.0,97.0,0.61,0.48,29.7,15.3,55.0,69.7,24.0,33.0,4.2,13.107142857142858,0.2755102040816326,71.28,20.538720538720536,10.1,17.2,38.4,19.3,3.1,38.4,6.2,6.6,Never,Never,No,No,Yes,4.1,7.3,29.3,Moderate,Severe,Poor,20.342857142857135
USER0005,13-17,Female,Instagram,4.0,6.12,4.0,7.0,57.0,7.0,65.0,1099.0,2.09,0.21,45.7,31.6,22.7,18.0,22.0,39.0,5.0,0.8636363636363636,0.059090909090909,134.64,34.15032679738562,21.8,18.3,25.2,11.0,2.8,53.1,36.2,3.9,Rarely,Sometimes,No,No,No,9.9,7.7,5.4,Severe,Severe,Poor,11.342857142857142
USER0006,18-24,Female,Instagram,2.0,5.57,7.0,13.0,145.0,10.0,2852.0,96.0,1.5,0.17,24.5,10.6,64.9,22.9,16.0,59.0,4.7,0.0508236943568173,29.4020618556701,89.12,26.929982046678635,8.9,16.2,10.0,13.9,2.4,29.8,22.1,7.0,Never,Always,No,No,No,5.3,3.8,18.2,Mild,Severe,Poor,16.12857142857143
USER0007,45-54,Male,TikTok,5.0,1.24,1.0,10.0,13.0,0.0,373.0,21.0,0.31,0.58,34.2,29.2,36.5,39.2,17.0,146.0,4.3,0.03475935828877,16.954545454545453,21.08,25.0,19.5,12.1,32.0,8.8,1.0,76.8,30.5,2.7,Sometimes,Never,Yes,No,No,2.0,8.2,9.0,Severe,Moderate,Moderate,10.757142857142856
USER0008,55+,Female,Facebook,3.0,0.87,2.0,5.0,13.0,0.0,130.0,455.0,0.18,0.41,41.7,23.4,29.5,33.2,21.0,157.0,3.1,0.099236641221374,0.2850877192982456,18.27,20.689655172413797,21.0,3.0,18.3,14.3,5.9,29.5,21.2,2.8,Rarely,Sometimes,No,Yes,Yes,4.0,6.0,15.5,Severe,,Poor,18.585714285714285
USER0009,35-44,Male,Snapchat,2.0,3.08,6.0,12.0,46.0,3.0,173.0,5281.0,0.63,0.56,21.3,27.6,51.1,53.8,25.0,141.0,7.6,0.264367816091954,0.0327527451722832,77.0,20.454545454545453,17.8,11.4,11.4,7.2,1.6,49.3,6.3,8.3,Sometimes,Always,No,No,No,9.7,6.3,11.7,Moderately Severe,Moderate,Moderate,15.942857142857145
USER0010,18-24,Male,YouTube,2.0,7.48,3.0,6.0,92.0,13.0,4.0,303.0,3.73,0.97,37.9,35.9,26.2,69.4,27.0,179.0,8.0,18.4,0.0131578947368421,201.96,49.86631016042781,26.5,16.9,33.3,12.6,5.6,59.1,20.05,8.0,Always,Always,No,No,No,7.3,2.7,29.1,Severe,Severe,Poor,14.05
USER0011,25-34,Female,Twitter,5.0,5.74,17.0,44.0,515.0,74.0,5309.0,189.0,1.92,1.0,18.8,5.6,75.6,51.150000000000006,26.0,138.0,6.1,0.0969868173258003,27.94210526315789,149.24,33.44947735191637,19.5,12.35,25.9,15.8,3.5,70.0,10.1,7.5,Often,Sometimes,No,Yes,No,3.8,13.6,29.5,Severe,Moderate,Poor,13.45
USER0012,13-17,Female,Twitter,5.0,6.18,3.0,7.0,6.0,0.0,916.0,231.0,2.04,0.42,42.3,28.4,29.3,36.1,5.0,136.0,2.6,0.0065430752453653,3.948275862068965,30.9,33.00970873786408,9.6,10.7,39.3,8.6,4.1,37.7,19.6,4.5,Never,Sometimes,No,Yes,Yes,8.7,12.2,23.9,Moderate,Moderate,Moderate,21.47142857142857
USER0013,45-54,Male,Snapchat,3.0,1.56,6.0,15.0,154.0,22.0,3.0,259.5,0.4,0.34,34.3,18.0,47.7,57.8,7.0,130.0,9.9,38.5,0.0115163147792706,10.92,25.64102564102565,22.0,11.3,31.9,8.1,1.9,43.5,11.9,6.4,Always,Rarely,No,No,No,9.3,1.4,20.9,Severe,Moderate,Moderate,18.27142857142857
USER0014,13-17,Male,Twitter,4.0,4.48,3.0,6.0,33.0,2.0,364.0,6015.0,1.29,0.48,22.8,26.4,50.8,74.9,21.0,146.0,8.2,0.0904109589041095,0.0605053191489361,94.08,28.79464285714285,19.8,20.1,21.1,6.4,2.6,70.3,11.4,2.4,Always,Sometimes,Yes,Yes,No,8.9,4.6,8.2,Severe,Severe,Moderate,12.471428571428572
USER0015,45-54,Male,Facebook,5.0,2.16,2.0,5.0,10.0,1.0,1640.0,320.0,0.59,0.545,25.2,23.8,51.0,31.2,20.0,35.0,1.5,0.0060938452163315,5.109034267912772,43.2,27.314814814814813,24.9,3.0,28.0,19.2,5.6,76.7,3.9,3.4,Always,Always,No,Yes,No,9.6,10.2,3.7,Severe,,Poor,14.357142857142858
